#{"t_start": 1746446150.2653627, "env_id": null}
r,l,t
-550.893717,1428,13.233923
-537.273755,1428,25.166919
-619.177221,1428,36.967753
-644.452151,1428,48.769897
-479.097441,1428,60.920221
-530.722302,1428,73.010147
-758.10163,1428,84.931632
-651.88619,1428,96.516325
-617.599435,1428,108.513641
-466.02873,1428,120.447634
-518.719573,1428,132.362895
-1155.239795,1428,144.174274
-841.651684,1428,156.066045
-527.923912,1428,167.838112
-793.830245,1428,179.900712
-795.745422,1428,192.00754
-835.242915,1428,204.070257
-465.849734,1428,216.064413
-487.801759,1428,228.111349
-784.692888,1428,240.006045
-760.342016,1428,252.02869
-944.044179,1428,263.841964
-834.606875,1428,275.853659
-957.633051,1428,287.762077
-954.831689,1428,299.619834
-424.523077,1428,311.841365
-752.082572,1428,323.902569
-526.903511,1428,336.051238
-568.515138,1428,347.799462
-377.276749,1428,359.514667
-707.038711,1428,371.227784
-1182.956681,1428,382.815302
-565.781522,1428,394.384523
-760.615114,1428,406.287849
-558.601787,1428,418.202189
-373.605339,1428,430.364659
-829.213866,1428,442.479299
-1097.493704,1428,454.507374
-550.126253,1428,466.556695
-1000.772592,1428,478.593272
-450.753548,1428,490.608696
-1026.924542,1428,502.66212
-603.84629,1428,514.694153
-725.449032,1428,526.76924
-668.123954,1428,538.90545
-429.934121,1428,550.947313
-1168.682565,1428,563.083962
-698.573421,1428,575.009842
-443.412147,1428,587.051682
-563.44351,1428,598.912287
-631.095519,1428,610.791467
-467.83736,1428,622.345088
-391.961067,1428,633.889546
-638.447279,1428,645.172207
-870.999939,1428,656.406832
-636.083681,1428,667.703896
-1561.626156,1428,678.937285
-372.627384,1428,690.157235
-515.579152,1428,701.342956
-656.740499,1428,712.375773
-387.515052,1428,723.526456
-550.936972,1428,734.86563
-454.32576,1428,746.20851
-647.264897,1428,757.610223
-611.338894,1428,769.327075
-609.245661,1428,780.993958
-592.613691,1428,792.524775
-402.212073,1428,803.934418
-461.936202,1428,815.366751
-529.197293,1428,826.764319
-524.813839,1428,838.172444
-430.624699,1428,849.611366
-502.127405,1428,861.107502
-620.650581,1428,872.61826
-495.38127,1428,884.041908
-529.619105,1428,895.444634
-514.576198,1428,907.080857
-532.450832,1428,918.646723
-344.20941,1428,930.42834
-341.251494,1428,941.979172
-455.739222,1428,953.465938
-571.980789,1428,964.95665
-543.870642,1428,976.450503
-726.259269,1428,987.869369
-569.82413,1428,999.629398
-768.355958,1428,1011.371055
-500.023536,1428,1023.175343
-332.389884,1428,1034.954801
-449.38927,1428,1046.726093
-452.438608,1428,1058.52624
-421.446028,1428,1070.258931
-370.617691,1428,1082.103295
-676.211788,1428,1094.073482
-546.03521,1428,1105.834667
-407.74032,1428,1117.62435
-628.439837,1428,1129.298965
-535.458226,1428,1140.956132
-439.826392,1428,1152.458996
-368.590816,1428,1163.989289
-468.525476,1428,1175.610159
-394.867379,1428,1187.107873
-498.441848,1428,1198.643492
-405.545261,1428,1210.105766
-655.173599,1428,1221.58482
-485.555508,1428,1233.06413
-292.936915,1428,1244.537703
-450.068963,1428,1256.151217
-377.549502,1428,1267.675537
-513.907926,1428,1279.222744
-471.204284,1428,1290.664696
-510.96029,1428,1301.983673
-1089.320989,1428,1313.269322
-527.910236,1428,1324.562865
-714.373108,1428,1335.7544
-864.870132,1428,1346.955168
-429.572717,1428,1358.153843
-888.415301,1428,1369.397284
-691.514423,1428,1380.718432
-457.919553,1428,1391.898644
-679.498704,1428,1403.070613
-336.90535,1428,1414.23631
-546.64328,1428,1425.413853
-314.558714,1428,1436.49927
-390.412034,1428,1447.671677
-418.716111,1428,1458.825826
-574.672582,1428,1469.922421
-974.467584,1428,1481.165555
-589.900495,1428,1492.260481
-371.137242,1428,1503.254388
-390.591527,1428,1514.359097
-991.747014,1428,1525.451204
-630.651903,1428,1536.518494
-400.311125,1428,1547.538219
-326.028457,1428,1558.562258
-482.039997,1428,1569.689554
-396.691137,1428,1580.733312
-344.0939,1428,1591.945367
-331.876788,1428,1603.051747
-565.6522,1428,1614.394101
-348.857833,1428,1625.780623
-617.556552,1428,1637.100988
-496.405688,1428,1648.321405
-319.920491,1428,1659.573535
-731.88232,1428,1670.877027
-401.889813,1428,1682.373683
-375.925589,1428,1693.687863
-367.753506,1428,1705.01066
-369.503431,1428,1716.444159
-331.167025,1428,1727.809621
-433.104729,1428,1739.306826
-399.330687,1428,1750.67436
-477.600826,1428,1762.166777
-434.608247,1428,1773.575242
-637.829747,1428,1784.923472
-590.300596,1428,1796.23169
-292.875882,1428,1807.529137
-494.527087,1428,1818.963749
-431.653203,1428,1830.38754
-434.336132,1428,1841.861103
-520.509833,1428,1853.196238
-353.84216,1428,1864.581352
-508.341619,1428,1875.969213
-292.431587,1428,1887.35646
-389.292684,1428,1898.710195
