#{"t_start": 1746424813.4207473, "env_id": null}
r,l,t
-533.58408,1428,14.450137
-546.149946,1428,27.766263
-613.354018,1428,40.816556
-611.020095,1428,54.376054
-495.352466,1428,67.926501
-545.321633,1428,81.319878
-664.264609,1428,94.66084
-585.615896,1428,108.334158
-545.821193,1428,121.814772
-478.269259,1428,134.856225
-623.416203,1428,148.017128
-523.669419,1428,161.12221
-712.361059,1428,174.357239
-576.195301,1428,187.821645
-486.577902,1428,200.741474
-513.087211,1428,213.431941
-416.079548,1428,226.182914
-445.542872,1428,238.682261
-706.502714,1428,251.108235
-529.780502,1428,263.485548
-365.763863,1428,275.682294
-774.492424,1428,287.806252
-569.711534,1428,299.874378
-545.379399,1428,311.799217
-719.681961,1428,323.853467
-507.895324,1428,335.990295
-590.036261,1428,348.792198
-423.727373,1428,361.877544
-662.105419,1428,375.172795
-444.57454,1428,388.589539
-439.033138,1428,402.048509
-747.301856,1428,415.19902
-601.266241,1428,427.774199
-630.201427,1428,440.28698
-603.895076,1428,453.063002
-440.189266,1428,465.457265
-496.031314,1428,477.852005
-451.883388,1428,490.367133
-475.547632,1428,503.195697
-752.663132,1428,516.764148
-408.350623,1428,530.343055
-670.16741,1428,543.934186
-448.630004,1428,557.658535
-484.788717,1428,571.200275
-397.202997,1428,584.857542
-581.983476,1428,598.098833
-619.839415,1428,611.147484
-405.753136,1428,624.404196
-386.410136,1428,637.722638
-491.759548,1428,651.054849
-574.178182,1428,664.183944
-479.609664,1428,677.298551
-624.557043,1428,690.414421
-479.584904,1428,703.614836
-471.613263,1428,716.541831
-496.055312,1428,729.277706
-613.297775,1428,742.260967
-634.160959,1428,754.998019
-411.091006,1428,767.782131
-572.772289,1428,780.503503
-567.309934,1428,793.419373
-614.505417,1428,806.243818
-577.823811,1428,819.05388
-630.745037,1428,831.685793
-443.17111,1428,844.713617
-617.542893,1428,857.750493
-539.32975,1428,870.65572
-502.524414,1428,883.604137
-477.865203,1428,896.324259
-516.294128,1428,909.119768
-474.253921,1428,921.914954
-388.075602,1428,934.592104
-502.341488,1428,947.280824
-707.167156,1428,960.063806
-517.128066,1428,972.569713
-594.103587,1428,985.376874
-455.839545,1428,998.151797
-445.262271,1428,1011.139875
-470.430165,1428,1024.677362
-346.852708,1428,1037.699985
-363.683111,1428,1050.857798
-488.644106,1428,1064.25488
-730.169157,1428,1077.492445
-527.977605,1428,1090.704751
-494.489282,1428,1103.774009
-684.95329,1428,1116.874761
-513.466767,1428,1130.083409
-505.773367,1428,1143.332482
-551.472095,1428,1156.625673
-528.619134,1428,1169.835118
-383.655451,1428,1183.199615
-414.564226,1428,1196.747093
-553.776686,1428,1210.136836
-510.590435,1428,1223.525876
-438.584602,1428,1237.056066
-522.323883,1428,1250.60732
-491.179974,1428,1264.245042
-618.379164,1428,1277.688737
-421.396287,1428,1291.131761
-519.336889,1428,1304.56211
-553.330012,1428,1317.82243
-666.120604,1428,1330.934669
-429.131288,1428,1344.261126
-634.778166,1428,1357.909918
-457.98275,1428,1371.35623
-545.528112,1428,1384.716812
-565.691589,1428,1397.945624
-511.535452,1428,1411.303368
-450.410546,1428,1425.052582
-536.653578,1428,1438.728012
-633.715475,1428,1452.088965
-614.32834,1428,1465.43045
-507.577228,1428,1479.210808
-535.626048,1428,1492.900513
-509.87585,1428,1506.610716
-641.722963,1428,1520.376405
-647.938934,1428,1533.87457
-788.442686,1428,1547.218115
-493.735363,1428,1560.546309
-600.784471,1428,1573.983927
-502.585417,1428,1587.391883
-595.900619,1428,1600.954206
-423.182008,1428,1614.32193
-439.639396,1428,1627.721896
-483.459047,1428,1641.033612
-481.788384,1428,1654.649862
-562.891294,1428,1668.030731
-598.675634,1428,1681.328433
-427.573819,1428,1694.519064
-534.343699,1428,1707.724817
-704.028713,1428,1721.294968
-489.360822,1428,1734.493263
-506.791662,1428,1747.560751
-529.716979,1428,1760.69681
