#{"t_start": 1746424478.3789268, "env_id": null}
r,l,t
-1341.670676,1428,12.815002
-1395.510351,1428,24.470222
-1725.085051,1428,36.087747
-1655.671289,1428,47.654766
-1219.082279,1428,59.271893
-1341.077721,1428,70.795107
-1719.276671,1428,82.388306
-1463.054327,1428,93.586897
-1554.533898,1428,104.956957
-1241.596509,1428,116.347602
-1683.096418,1428,127.985302
-1200.383644,1428,139.487785
-1019.826864,1428,150.930557
-1373.368459,1428,162.483674
-1082.56671,1428,173.847158
-1713.570785,1428,185.075758
-1404.365942,1428,196.512444
-1077.281244,1428,208.02406
-1466.213897,1428,219.314885
-936.342966,1428,230.485304
-924.959155,1428,241.810087
-1768.440863,1428,253.088377
-1611.461638,1428,264.297288
-1602.197278,1428,275.647102
-1935.013186,1428,287.101471
-1409.442683,1428,298.651871
-1723.865355,1428,310.006534
-960.597665,1428,321.205728
-1353.869788,1428,332.128134
-1196.89362,1428,343.563033
-950.674626,1428,355.550672
-1506.165828,1428,367.140429
-1527.016802,1428,378.750792
-1601.981383,1428,390.656055
-1277.90435,1428,402.837447
-1191.352466,1428,415.123965
-1191.290922,1428,427.957764
-1588.702497,1428,440.232564
-1313.859549,1428,452.682517
-1826.973655,1428,464.750865
-869.608775,1428,476.665547
-1642.507708,1428,488.542893
-946.419344,1428,500.495384
-1072.731764,1428,512.431532
-1305.839141,1428,524.179271
-1551.802165,1428,536.086822
-2054.155931,1428,547.911571
-861.264352,1428,559.980575
-906.262073,1428,571.789791
-1414.027764,1428,583.628407
-1358.691341,1428,595.374775
-1123.116161,1428,607.213387
-1151.157552,1428,619.016779
-1361.214166,1428,630.924427
-1411.68159,1428,642.580726
-1237.381074,1428,654.470182
-1847.184496,1428,666.392561
-1538.239345,1428,678.543366
-1133.890652,1428,690.637125
-1436.084456,1428,702.618008
-1185.517075,1428,714.383718
-1643.329462,1428,726.383103
-1515.977978,1428,738.305698
-1780.253133,1428,750.166688
-1089.989973,1428,762.000883
-1207.119302,1428,773.98188
-1523.715632,1428,785.869707
-1457.281937,1428,797.757001
-1340.674278,1428,809.55156
-1629.321576,1428,821.390806
-876.260063,1428,833.300685
-753.569887,1428,845.115997
-1202.268714,1428,857.160603
-1897.712892,1428,869.230095
-1339.398276,1428,881.258534
-1379.396285,1428,893.29698
-1290.803173,1428,905.261124
-1176.745554,1428,917.35632
-1084.68072,1428,929.601288
-830.036565,1428,941.257704
-727.12002,1428,953.06992
-1439.133977,1428,964.831914
-1430.87569,1428,976.479157
-1463.91086,1428,988.166762
-912.472182,1428,1000.318433
-1949.897491,1428,1012.456832
-1589.968105,1428,1024.73033
-1463.100232,1428,1036.871258
-1369.475391,1428,1048.776297
-1333.259914,1428,1060.599214
-852.851706,1428,1072.413254
-1012.861662,1428,1084.190261
-1530.97433,1428,1095.911114
-1399.074958,1428,1107.737372
-1019.144736,1428,1119.605602
-1230.0184,1428,1131.484891
-1311.213473,1428,1143.283451
-1636.816378,1428,1155.136451
-906.235761,1428,1167.016921
-1237.708023,1428,1178.964082
-1165.461458,1428,1191.012486
-1730.819485,1428,1203.100682
-735.457681,1428,1215.427219
-1752.709837,1428,1227.787338
-1504.254539,1428,1240.087708
-1508.225943,1428,1252.368495
-1550.355713,1428,1264.674497
-1216.196618,1428,1276.882245
-1090.875817,1428,1289.142786
-1210.642423,1428,1301.482157
-1430.584208,1428,1313.724428
-1640.884128,1428,1325.99088
-1043.232252,1428,1338.243151
-1419.738814,1428,1350.215139
-1269.961001,1428,1362.214677
-1711.336294,1428,1374.239133
-1368.142454,1428,1386.03234
-1991.686877,1428,1397.929384
-1211.988466,1428,1409.914683
-1916.312607,1428,1421.732037
-1331.271408,1428,1433.660748
-1502.968636,1428,1445.811893
-993.927045,1428,1457.801799
-1051.052337,1428,1469.743745
-1000.923977,1428,1481.679904
-1202.939247,1428,1493.871344
-1277.505804,1428,1505.865088
-1771.550887,1428,1517.965134
-1445.61104,1428,1530.217479
-1165.880741,1428,1542.61051
-2282.976635,1428,1555.042916
-1160.86813,1428,1567.279682
-1082.767788,1428,1579.484689
-1334.279468,1428,1591.789
-1699.958772,1428,1604.215508
-960.35699,1428,1616.484716
-1341.312098,1428,1628.486725
-1044.799232,1428,1640.457999
-1689.807615,1428,1652.575954
-1138.028503,1428,1664.632126
-1176.424803,1428,1676.670349
-1321.981041,1428,1688.706289
-1264.779328,1428,1700.713073
-2002.052526,1428,1712.767627
