#{"t_start": 1746424564.570774, "env_id": null}
r,l,t
-1617.075919,1428,12.266244
-1352.431136,1428,23.313856
-1835.958599,1428,34.500922
-1758.024591,1428,45.739819
-982.877187,1428,57.010248
-1504.791234,1428,68.459545
-1664.877869,1428,80.034426
-1883.649264,1428,91.468535
-2240.048498,1428,102.858794
-1211.093615,1428,114.24135
-1805.915923,1428,125.515035
-1035.160796,1428,136.971748
-1236.29204,1428,148.453324
-1119.492823,1428,159.643959
-967.143981,1428,170.960831
-1310.830755,1428,182.231379
-1645.963335,1428,193.762118
-1241.021019,1428,205.259725
-769.67302,1428,216.893252
-1312.570111,1428,228.25696
-895.509313,1428,239.48643
-1078.099451,1428,250.683957
-1793.940552,1428,262.488358
-1676.785232,1428,274.482806
-1382.150837,1428,286.276515
-912.78905,1428,298.072635
-1408.769492,1428,310.210114
-812.004037,1428,322.31005
-1676.228935,1428,334.878205
-1251.741085,1428,347.389744
-803.810169,1428,360.257119
-1820.566576,1428,372.901346
-1596.039993,1428,384.967798
-1586.664196,1428,397.26827
-1708.673868,1428,409.60794
-685.019725,1428,421.716218
-1802.904442,1428,433.868924
-1700.891878,1428,445.847219
-1043.205816,1428,457.84669
-2042.535439,1428,469.801396
-1070.920149,1428,481.655281
-1526.579664,1428,493.374564
-1229.827956,1428,505.175318
-1476.884017,1428,517.046378
-917.973723,1428,528.78059
-1027.668883,1428,540.539986
-2674.652615,1428,552.160434
-1176.528839,1428,564.079081
-780.356423,1428,575.73153
-1148.357303,1428,587.354872
-902.421694,1428,599.33655
-999.945194,1428,611.555297
-916.041786,1428,623.547914
-971.966505,1428,635.387759
-1473.841986,1428,647.69758
-1188.500961,1428,660.040694
-1408.122474,1428,672.212498
-975.441557,1428,684.180366
-1120.467035,1428,696.185078
-1480.431125,1428,708.085598
-1032.315573,1428,719.889237
-1847.783093,1428,731.792454
-901.49745,1428,743.722798
-1191.467382,1428,756.080322
-1770.754613,1428,768.416568
-751.853197,1428,780.634846
-1269.579361,1428,793.035014
-665.394714,1428,805.218835
-962.925184,1428,817.307048
-959.586275,1428,829.599582
-1240.394226,1428,841.901412
-988.006592,1428,854.095814
-879.91552,1428,866.44338
-1372.075859,1428,878.79262
-1314.331317,1428,891.196856
-1211.46925,1428,903.481915
-954.675972,1428,916.025017
-866.387151,1428,928.543237
-1343.440382,1428,941.669885
-920.985829,1428,954.280668
-813.253559,1428,966.622475
-1684.272847,1428,978.823847
-1234.296025,1428,990.965576
-1246.520604,1428,1003.174321
-1406.883413,1428,1015.205719
-2438.44883,1428,1027.425871
-1296.66004,1428,1039.647254
-1587.305119,1428,1051.796908
-1432.969116,1428,1063.857262
-780.46975,1428,1075.942224
-687.413929,1428,1088.168837
-1056.067934,1428,1100.811685
-896.611767,1428,1113.452835
-1480.70269,1428,1125.7161
-492.155205,1428,1138.04495
-1153.499958,1428,1150.326761
-1079.145821,1428,1162.577173
-1813.306571,1428,1174.740023
-1243.536418,1428,1186.951297
-1433.17283,1428,1199.187074
-1372.350507,1428,1211.333613
-2092.747981,1428,1223.49477
-963.696848,1428,1235.708096
-1401.333342,1428,1247.848234
-984.947292,1428,1260.331791
-795.399398,1428,1272.823056
-1134.464196,1428,1285.264269
-1073.009657,1428,1297.563675
-1013.522776,1428,1310.084395
-1781.532866,1428,1322.617589
-2080.387542,1428,1334.884572
-1272.054176,1428,1347.285511
-1964.581268,1428,1359.769361
-1602.940123,1428,1372.274384
-1055.707018,1428,1384.632043
-1435.596935,1428,1397.021196
-1513.435546,1428,1409.566543
-2298.015802,1428,1422.169935
-482.788485,1428,1434.557871
-1833.674328,1428,1446.914785
-1179.082471,1428,1459.558975
-1845.141663,1428,1472.318347
-663.559915,1428,1484.916269
-772.56145,1428,1497.416778
-1280.491432,1428,1509.994952
-864.986813,1428,1522.560415
-1067.16916,1428,1535.103618
-1898.031135,1428,1547.396298
-1133.316161,1428,1559.636097
-611.610254,1428,1571.852931
-1804.251168,1428,1584.116319
-1360.368627,1428,1596.345752
