#{"t_start": 1746446064.5345047, "env_id": null}
r,l,t
-685.452154,1428,12.454362
-537.078327,1428,23.658529
-674.727249,1428,34.821598
-686.66032,1428,46.000668
-394.606729,1428,57.47513
-718.589949,1428,69.442636
-706.932648,1428,81.290626
-1500.665919,1428,93.545091
-1146.809046,1428,106.175735
-659.106238,1428,118.473786
-573.204064,1428,130.775221
-833.366663,1428,142.946246
-1099.576828,1428,155.484219
-959.406244,1428,167.871297
-518.053265,1428,180.242412
-501.978205,1428,192.508026
-665.872002,1428,204.913032
-868.801859,1428,217.253934
-736.323144,1428,229.532313
-619.798781,1428,241.626896
-1101.332447,1428,253.772223
-406.480379,1428,266.417691
-895.642732,1428,279.022856
-591.049266,1428,291.511586
-1130.381266,1428,304.0316
-658.854731,1428,316.419869
-742.991205,1428,328.840315
-803.204689,1428,341.316156
-730.042426,1428,353.793607
-758.889812,1428,366.200699
-357.052332,1428,378.648638
-691.251965,1428,391.248421
-777.642578,1428,403.786815
-477.875053,1428,416.21347
-503.254669,1428,428.775805
-565.765045,1428,441.062084
-862.105236,1428,453.405219
-621.237675,1428,465.568168
-475.729324,1428,477.756571
-629.2097,1428,489.95361
-441.675852,1428,502.136472
-478.650882,1428,514.415576
-409.782634,1428,527.040029
-546.118354,1428,539.616176
-440.753999,1428,552.12418
-616.33568,1428,564.706465
-853.759793,1428,577.196008
-858.798022,1428,589.648725
-897.160369,1428,602.180661
-979.994252,1428,614.609116
-1217.89351,1428,627.074184
-998.317932,1428,639.410282
-996.252776,1428,651.856172
-934.206787,1428,664.092924
-1102.039314,1428,676.470742
-890.033924,1428,688.727618
-868.524216,1428,701.210029
-191.390594,1428,713.45024
-942.255647,1428,725.43438
-401.472253,1428,737.172251
-364.361967,1428,748.841564
-1067.769551,1428,760.450406
-634.612791,1428,772.056541
-1226.217794,1428,783.526834
-618.151257,1428,795.107053
-608.171513,1428,806.678105
-530.478841,1428,818.819558
-421.402717,1428,830.80942
-527.180694,1428,842.792807
-544.490193,1428,855.068583
-776.314238,1428,867.306542
-605.75451,1428,879.070897
-534.652087,1428,890.663816
-646.007636,1428,902.301827
-558.010302,1428,913.966555
-393.13801,1428,925.69651
-286.186155,1428,937.288359
-386.191847,1428,948.999217
-510.603391,1428,961.167202
-335.529241,1428,972.814291
-570.58913,1428,984.524214
-308.783662,1428,996.297648
-720.682154,1428,1007.978358
-378.735831,1428,1019.621071
-587.239708,1428,1031.267689
-944.508851,1428,1042.791817
-569.691047,1428,1054.310819
-344.203526,1428,1065.842648
-663.025846,1428,1077.439167
-251.95626,1428,1089.584642
-196.792169,1428,1101.806309
-426.159768,1428,1113.924035
-293.360352,1428,1126.142357
-230.952748,1428,1138.373028
-810.708778,1428,1150.594788
-644.174617,1428,1162.835464
-565.055533,1428,1175.105597
-449.293046,1428,1187.329007
-420.130941,1428,1199.463985
-1066.622588,1428,1211.810469
-586.325041,1428,1224.049938
-784.834306,1428,1235.848703
-213.880712,1428,1247.625108
-653.586375,1428,1259.458025
22.092357,1428,1271.281362
-251.143432,1428,1283.139593
-314.804794,1428,1294.850523
-52.920005,1428,1306.495343
-207.525627,1428,1318.329438
-381.225591,1428,1330.023022
-220.080758,1428,1341.775736
-90.018827,1428,1353.60041
-560.380556,1428,1365.458517
-186.896189,1428,1377.283937
-478.195326,1428,1388.893078
-475.658847,1428,1400.341407
-423.04574,1428,1411.949834
-986.770954,1428,1423.610636
-160.752283,1428,1435.079897
-198.483421,1428,1446.54288
-202.135395,1428,1458.066785
428.554466,1428,1469.688417
-330.479551,1428,1481.097809
-206.300147,1428,1492.54848
-340.98693,1428,1504.0175
-210.860811,1428,1515.508715
123.951376,1428,1526.91705
-642.622316,1428,1538.448126
-206.468487,1428,1549.820648
-145.449141,1428,1561.28623
-504.831916,1428,1572.746272
-193.27918,1428,1584.188117
-211.804376,1428,1595.511001
-220.891496,1428,1606.885328
-440.780484,1428,1618.347157
-767.533627,1428,1629.748508
-246.075617,1428,1641.05011
-66.539753,1428,1652.421607
-213.945349,1428,1663.794483
-187.339122,1428,1675.308681
-231.031928,1428,1686.756963
-204.208034,1428,1698.311291
-163.070335,1428,1709.797966
524.138731,1428,1721.421632
-232.237928,1428,1733.011907
-188.177815,1428,1744.498445
-221.691603,1428,1756.009871
-171.224229,1428,1767.681538
-166.548487,1428,1779.247595
-671.769201,1428,1790.6873
-128.654056,1428,1802.1809
-672.704525,1428,1813.793701
-269.213263,1428,1825.282654
-214.352223,1428,1836.905815
-135.549665,1428,1848.513481
32.819743,1428,1860.092365
-100.865163,1428,1871.760748
-200.42264,1428,1883.200526
-1077.812487,1428,1894.682055
-565.372523,1428,1906.200364
-347.784533,1428,1917.845723
-296.831536,1428,1929.477258
-214.748289,1428,1941.005527
-353.903874,1428,1952.474224
-224.430038,1428,1963.95654
-413.577429,1428,1975.598378
-1615.145045,1428,1987.123913
-742.187532,1428,1998.560784
-432.700756,1428,2009.975509
-466.850175,1428,2021.626553
-368.785106,1428,2033.188732
-328.399632,1428,2044.788243
-156.958392,1428,2056.3615
-379.592261,1428,2067.947764
-68.957661,1428,2079.560831
-243.443355,1428,2091.523599
-51.786917,1428,2103.521183
-15.412426,1428,2115.405195
-846.754411,1428,2127.307372
-157.411844,1428,2139.328803
445.367539,1428,2151.176367
-278.695478,1428,2162.957056
-115.015311,1428,2174.950848
-64.264237,1428,2186.768481
-171.109113,1428,2198.637657
-143.11709,1428,2210.539183
-171.71549,1428,2222.429507
150.252009,1428,2234.402101
-125.149092,1428,2246.255031
-115.748752,1428,2258.224281
-187.546038,1428,2270.144225
-107.308037,1428,2282.159568
-469.167647,1428,2293.999535
-405.582366,1428,2305.895163
-765.483634,1428,2317.67854
19.356975,1428,2329.408537
-504.573235,1428,2341.289479
-287.974907,1428,2353.066833
-407.491352,1428,2364.866134
-653.559197,1428,2376.222244
-59.071281,1428,2387.758546
-119.716852,1428,2399.228683
-267.414102,1428,2410.804096
-127.527834,1428,2422.172241
-263.643583,1428,2433.583182
1162.27743,1428,2445.075759
-419.656146,1428,2456.693848
-211.84363,1428,2468.30423
730.353367,1428,2479.871879
2273.380085,1428,2491.618845
-909.37556,1428,2503.276293
134.466907,1428,2515.167551
-386.53328,1428,2527.294122
134.541226,1428,2539.349671
-234.247336,1428,2551.418047
-347.53112,1428,2563.455418
-254.789089,1428,2575.440927
-39.96708,1428,2587.684434
-179.317731,1428,2599.753242
-382.671275,1428,2611.786897
229.988335,1428,2623.736309
-768.408842,1428,2635.651431
84.997719,1428,2647.844218
-1555.874009,1428,2659.826529
649.495424,1428,2671.885549
609.118291,1428,2683.892012
452.361121,1428,2695.956174
414.739888,1428,2708.00757
-277.324909,1428,2719.948495
-557.586619,1428,2731.962211
-1303.786536,1428,2743.795145
-332.57319,1428,2755.810142
484.97149,1428,2767.89365
-356.427962,1428,2779.849528
-419.535341,1428,2791.766679
-347.448746,1428,2803.764278
-324.695581,1428,2815.787862
-240.205998,1428,2827.752642
-354.822842,1428,2839.676947
49.893184,1428,2851.635436
-347.103142,1428,2863.476228
-265.89459,1428,2875.372516
-204.575657,1428,2887.155744
-695.586569,1428,2898.919077
-221.775914,1428,2910.727763
-276.888613,1428,2922.548385
-1154.827816,1428,2934.472323
-176.210403,1428,2946.291389
-232.055015,1428,2958.207408
-410.420765,1428,2969.966234
-265.190905,1428,2981.757558
-216.519954,1428,2993.530279
-16.5445,1428,3005.366266
-253.195823,1428,3017.124107
-195.211353,1428,3028.865306
-167.977658,1428,3040.666349
-325.200376,1428,3052.430621
-204.491943,1428,3064.289861
-311.148149,1428,3076.196373
-363.756508,1428,3087.991271
-304.014789,1428,3099.729037
-386.482855,1428,3111.488296
-231.127511,1428,3123.094316
-265.323895,1428,3134.832297
297.742833,1428,3146.411508
39.159079,1428,3158.198379
-130.06806,1428,3169.918869
495.981495,1428,3181.53726
158.465213,1428,3193.207293
294.975477,1428,3204.965832
245.256283,1428,3216.718487
1033.165925,1428,3228.385156
-267.145321,1428,3240.085174
-352.96459,1428,3251.867693
793.487175,1428,3263.665051
522.463355,1428,3275.381486
87.998043,1428,3286.876299
-26.720635,1428,3298.362608
-99.78391,1428,3309.888143
1460.583044,1428,3321.350365
599.431809,1428,3332.833938
-331.27406,1428,3344.391669
444.093534,1428,3355.948728
-285.01051,1428,3367.361304
272.129238,1428,3378.853195
-727.599496,1428,3390.373107
-76.469069,1428,3401.896216
-440.337998,1428,3413.371108
16.135863,1428,3424.950746
279.802673,1428,3436.496131
-613.427243,1428,3447.939951
-84.998554,1428,3459.529218
-176.00602,1428,3470.938917
350.647346,1428,3482.457993
590.418342,1428,3493.936443
1236.878871,1428,3505.460947
-196.135748,1428,3517.011853
-105.660761,1428,3528.502519
-175.862828,1428,3540.05437
678.325298,1428,3551.893843
-678.515417,1428,3564.075147
599.733279,1428,3576.449935
-219.568726,1428,3588.729022
1057.392482,1428,3600.926547
170.634742,1428,3613.150964
-76.31473,1428,3625.491393
1126.503977,1428,3637.675987
317.265357,1428,3649.860681
931.827218,1428,3661.996236
-339.505577,1428,3674.258171
735.472955,1428,3686.48859
-117.870872,1428,3698.712631
605.094512,1428,3710.980581
186.459407,1428,3723.221323
-302.695637,1428,3735.481864
527.608466,1428,3747.705689
1304.794113,1428,3759.941968
1060.996854,1428,3772.323896
2782.498799,1428,3784.569149
953.923189,1428,3796.88578
-97.079868,1428,3809.111219
-7.433579,1428,3821.463437
1782.342877,1428,3833.601765
1457.747376,1428,3845.831622
120.302796,1428,3858.060645
540.431139,1428,3870.316053
204.970074,1428,3882.525231
-366.546078,1428,3894.89064
-124.242119,1428,3907.312369
1375.582538,1428,3919.631437
651.236426,1428,3931.978865
430.642748,1428,3944.491403
920.999287,1428,3956.938121
1088.412136,1428,3968.920072
895.768176,1428,3980.730603
505.276979,1428,3992.628484
1316.399996,1428,4004.535017
1060.411791,1428,4016.39695
544.577369,1428,4028.184162
1349.115349,1428,4039.90806
1144.200392,1428,4051.793803
341.960786,1428,4063.624909
1233.074629,1428,4075.398955
1199.016211,1428,4087.249185
1818.41118,1428,4098.987581
1307.949239,1428,4110.765753
1913.109165,1428,4122.512593
877.854126,1428,4134.341158
1181.607423,1428,4146.111187
1116.36051,1428,4157.919943
2532.446536,1428,4169.593177
2232.238393,1428,4180.824582
3667.579416,1428,4192.025846
839.370092,1428,4203.312605
1238.813626,1428,4214.530677
2668.135646,1428,4225.736433
36.955634,1428,4236.846903
64.593115,1428,4248.01864
1924.294982,1428,4259.288787
999.048458,1428,4270.465691
1109.288091,1428,4281.712244
2725.044704,1428,4292.902086
2301.65524,1428,4304.186117
3092.118065,1428,4315.384269
1234.393743,1428,4326.568688
302.510116,1428,4337.711445
1497.712773,1428,4348.802151
